Date,open,high,low,close,volume
2018-01-01,8.031594276428223,8.031594276428223,8.031594276428223,8.031594276428223,0.0
2018-01-02,8.05326144322753,8.154378878697754,8.024370845779776,8.12548828125,7462905.0
2018-01-03,8.13993456200933,8.255496960852788,8.031594296488915,8.089375495910645,10730239.0
2018-01-04,8.089373881350177,8.168823531302348,7.99547927882876,8.067706108093262,5812337.0
2018-01-05,8.089375837983043,8.277165088447754,8.067708059485197,8.21216106414795,12711473.0
2018-01-08,8.255495971109402,8.363835534834863,8.139933586120605,8.139933586120605,10759963.0
2018-01-09,8.168823531302348,8.204936257128507,7.99547927882876,8.067706108093262,6837094.0
2018-01-10,8.046038238235557,8.046038238235557,7.887139629045044,7.894362449645996,5194905.0
2018-01-11,7.944922173392073,8.038816790825269,7.9088087530245055,8.024371147155762,9145052.0
2018-01-12,8.053261399345104,8.074929863917477,7.930476188659669,7.930476188659668,7881216.0
2018-01-15,7.894363753409498,8.031593923460882,7.87991810982188,7.908808708190918,5808236.0
2018-01-16,7.8871409455845924,8.089375134526039,7.851027525357784,8.046039581298828,7784320.0
2018-01-17,8.046039938633594,8.197715759277344,7.966590272844917,8.197715759277344,10060680.0
2018-01-18,8.204937264399456,8.269941280956443,8.11826547192553,8.154378890991211,7277689.0
2018-01-19,8.147156470095371,8.183269890937114,7.908808856868559,7.952145099639893,5586302.0
2018-01-22,8.002703405400775,8.219383239746094,7.981035628608104,8.219383239746094,9107777.0
2018-01-23,8.24105073229357,8.291609106001374,8.13993398487796,8.269941329956055,6796493.0
2018-01-24,8.262719767467175,8.320501660403517,8.212161386054948,8.277165412902832,6604738.0
2018-01-25,8.277165373840196,8.291610330401397,8.132712364196777,8.132712364196777,6290350.0
2018-01-26,8.1977142195283,8.26994036081738,8.147155162939235,8.241049766540527,7598080.0
2018-01-29,8.269941914132415,8.33494593566634,8.139934559870795,8.197715759277344,8216115.0
2018-01-30,8.168823302711253,8.27716285477021,8.154377661740153,8.204936027526855,9124835.0
2018-01-31,8.226604494838963,8.378280281113106,8.18326826070089,8.284385681152344,9595893.0
2018-02-01,8.342169427316477,8.349392250023541,8.046040584389758,8.0821533203125,6996151.0
2018-02-02,8.103819538536234,8.14715508513461,7.995479294428105,8.096596717834473,5107793.0
2018-02-05,8.060484049164835,8.074929691905364,7.9088082444200705,7.937698841094971,6950477.0
2018-02-06,7.74268690164897,7.807690911465269,7.634346655686436,7.706573486328125,7941297.0
2018-02-07,7.764355484225229,7.80769172488632,7.619902496698553,7.663238048553467,14521456.0
2018-02-08,7.7137967319872285,7.721018864404268,7.511561870574951,7.511561870574951,9631165.0
2018-02-09,7.439336130714222,7.504340147657752,7.403222711433796,7.446558952331543,7135607.0
2018-02-12,7.504339264573202,7.6704600093859945,7.4682258495424785,7.591011047363281,6633221.0
2018-02-13,7.619901516694616,7.656014931133242,7.547674687817361,7.6054558753967285,5791375.0
2018-02-14,7.634346215699346,7.6921274013601755,7.453779838307735,7.468225479125977,4929090.0
2018-02-15,7.540453441343953,7.699352084762583,7.518785663679759,7.677684307098389,5970512.0
2018-02-16,7.7137977290762,7.742688328897203,7.598235329792191,7.677684307098389,6306981.0
2018-02-19,7.699350603649354,7.721018377145349,7.5548976323325565,7.591011047363281,4824111.0
2018-02-20,7.598234347640866,7.670460493454271,7.468226320848138,7.511561870574951,7986273.0
2018-02-21,7.554899065986409,7.627125909753969,7.540453421710404,7.619903087615967,4895107.0
2018-02-22,7.627125275611595,7.699351424567824,7.605456810999171,7.656015872955322,6392454.0
2018-02-23,7.692128153284178,7.713796616629683,7.634346961975098,7.634346961975098,4585476.0
2018-02-26,7.721019081749595,7.8365821581551804,7.713796949129253,7.778800964355469,7255174.0
2018-02-27,7.800468458706765,7.83658187573163,7.7499093993495,7.82935905456543,5751985.0
2018-02-28,7.786023435901412,7.793246257642326,7.71379728491085,7.764355659484863,6408204.0
2018-03-01,7.728242034378946,7.749909810220152,7.641570242207946,7.684906482696533,8245398.0
2018-03-02,7.627125330408906,7.692128658294678,7.627125330408906,7.692128658294678,2951189.0
2018-03-05,7.728242375154446,7.7426880188896785,7.605457158629794,7.670461177825928,6029286.0
2018-03-06,7.7137977290762,7.7571332844045875,7.663238662784772,7.677684307098389,4566264.0
2018-03-07,7.648793707277386,7.692129262605774,7.605457463142767,7.677684307098389,4937620.0
2018-03-08,7.6776840217025155,7.73546521919667,7.648793422955438,7.72824239730835,4439135.0
2018-03-09,7.742687883068314,7.786023435901412,7.7210194178455716,7.764355659484863,5499891.0
2018-03-12,7.786022663116456,7.822136079430473,7.771577709874523,7.786022663116455,3125287.0
2018-03-13,7.78602232656342,7.8149129206046055,7.7137961858635045,7.8004679679870605,3685566.0
2018-03-14,7.814913851482126,7.822136673054296,7.713797104696452,7.742687702178955,4027311.0
2018-03-15,7.771578735566097,7.771578735566097,7.583789496993713,7.6271257400512695,3187961.0
2018-03-16,7.612680096096678,7.648793517176939,7.583789496993713,7.6271257400512695,2979765.0
2018-03-19,7.6199029286869,7.6199029286869,7.482672066152018,7.547676086425781,3560465.0
2018-03-20,7.554897616869488,7.569342569568552,7.475448655009388,7.56212043762207,4499831.0
2018-03-21,7.591012487870189,7.663238642831519,7.576566843594184,7.619903087615967,7577650.0
2018-03-22,7.663237827339967,7.677683470078723,7.54045261928517,7.554898262023926,2847270.0
2018-03-23,7.475448655009388,7.583788211073715,7.453780192751643,7.56212043762207,5025487.0
2018-03-26,7.58378951816445,7.641570716531682,7.547676096983376,7.576566696166992,2683718.0
2018-03-27,7.627125111249933,7.648792886589252,7.5765660503833105,7.583788871765137,3539396.0
2018-03-28,7.526007808835435,7.60545677899481,7.4826715685991205,7.489894390106201,4474482.0
2018-03-29,7.518784217301833,7.598233868130646,7.489893623038473,7.591011047363281,3698413.0
2018-03-30,7.598234514528788,7.605456647104456,7.562121096425818,7.583788871765137,1290904.0
2018-04-02,7.591011075602919,7.612678849179521,7.562120481232083,7.569342613220215,2161835.0
2018-04-03,7.613956822169434,7.658570163427713,7.584214831032249,7.636263847351074,3136572.0
2018-04-04,7.658569714938154,7.732924333874373,7.576778712271864,7.710618019104004,5320582.0
2018-04-05,7.725489517552359,7.807279812693259,7.695747527582488,7.777537822723389,4428118.0
2018-04-06,7.755233165524655,7.777539485494715,7.67344214379256,7.74779748916626,3883087.0
2018-04-09,7.755232673068998,7.784974667508842,7.680877332416847,7.703183650970459,2603534.0
2018-04-10,7.718054735108606,7.770103046297216,7.547037741180944,7.599086761474609,6139335.0
2018-04-11,7.599085985642851,7.6213923011455895,7.316536722556563,7.450376033782959,6114085.0
2018-04-12,7.4652468037701745,7.621392433204914,7.353714515218931,7.487553119659424,5791534.0
2018-04-13,7.524730279000985,7.554472267886169,7.346278345689882,7.4280686378479,4115621.0
2018-04-16,7.435504585387025,7.524730555319072,7.420633235845862,7.502424240112305,2941076.0
2018-04-17,7.547036261232152,7.576778248808346,7.376020009945266,7.480117321014404,7142332.0
2018-04-18,7.4726827850139035,7.688312405060244,7.331407790680596,7.666006088256836,10511217.0
2018-04-19,7.695747914568537,7.703182880606145,7.547037248136189,7.554472923278809,5125960.0
2018-04-20,7.561907868555634,7.62139184574525,7.49498821694108,7.524730205535889,3940721.0
2018-04-23,7.524730205535888,7.524730205535888,7.524730205535888,7.524730205535889,0.0
2018-04-24,7.547036423648975,7.643698062628052,7.487552447216456,7.576778411865234,5643706.0
2018-04-25,7.5842149956672,7.621392662671969,7.405763044970329,7.442940711975098,7529213.0
2018-04-26,7.5396014297970675,7.5396014297970675,7.383455814978329,7.517294406890869,6743054.0
2018-04-27,7.56934433475414,7.56934433475414,7.383456709316014,7.398327350616455,5361289.0
2018-04-30,7.435504299978244,7.465246288813959,7.130648737135927,7.138084411621094,7156305.0
2018-05-01,7.138084411621094,7.138084411621094,7.138084411621094,7.138084411621094,0.0
2018-05-02,7.152955453339205,7.294230440074385,7.152955453339205,7.249617099761963,8705417.0
2018-05-03,7.257052522976329,7.316536501926548,7.1678265545510005,7.219874858856201,7425984.0
2018-05-04,7.219875156210451,7.383456459613214,7.123213509159045,7.368585109710693,7993771.0
2018-05-07,7.413198657103877,7.413198657103877,7.205004007290971,7.279359340667725,6741445.0
2018-05-08,7.376021115413917,7.398327432162954,7.160391495893159,7.286795139312744,10953948.0
2018-05-09,7.27192403773008,7.413199036556218,7.2496177202172865,7.3314080238342285,9832008.0
2018-05-10,7.390891921555408,7.480118608749674,7.242181958073365,7.413198947906494,7805646.0
2018-05-11,7.383455978017902,7.4503756300043396,7.294230011737634,7.3537139892578125,4750207.0
2018-05-14,7.331406925117164,7.561907868555634,7.331406925117164,7.524730205535889,4938582.0
2018-05-15,7.435503985097655,7.517294273655958,7.383455684115544,7.480117321014404,6060337.0
2018-05-16,7.4429400577873075,7.487552686987846,7.227310459038158,7.3165364265441895,7477555.0
2018-05-17,7.361149001259937,7.361149001259937,7.197568416595459,7.197568416595459,4783470.0
2018-05-18,7.212439235363001,7.3611491837932235,7.167826605386418,7.338842868804932,6251599.0
2018-05-21,7.323972682514779,7.435504973474898,7.271923665509047,7.279359340667725,7344286.0
2018-05-22,7.323972176571566,7.353714166046675,7.152955205260964,7.219874858856201,9103548.0
2018-05-23,7.182697419909475,7.257052750480727,7.1009071235650865,7.190133094787598,9273826.0
2018-05-24,7.26448865498825,7.301665612344049,7.115777989145025,7.160391330718994,10295021.0
2018-05-25,7.175262097736108,7.249617431962346,7.152955781110245,7.182697772979736,12387134.0
2018-05-28,7.257053024296703,7.316537007356102,7.23474599882067,7.279359340667725,8837768.0
2018-05-29,7.286793905420057,7.286793905420057,7.167825957430326,7.212438583374023,5592937.0
2018-05-30,7.2050033546727414,7.219874703643073,7.108342422785379,7.138084411621094,8025512.0
2018-05-31,7.205003377987723,7.212439052496951,6.92988980309087,6.937325477600098,5315890.0
2018-06-01,6.94476168545575,6.9596323265112945,6.699390080646714,6.76630973815918,9236523.0
2018-06-04,6.766309012597856,6.87784129042219,6.721695676005165,6.751437664031982,6038000.0
2018-06-05,6.80348699067932,6.80348699067932,6.565551050622131,6.580422401428223,5728820.0
2018-06-06,6.602728492771146,6.639906159410158,6.327614894210474,6.625034809112549,7774583.0
2018-06-07,6.602728313968581,6.81092224876212,6.602728313968581,6.773744583129883,5232020.0
2018-06-08,6.7737444089728305,6.7737444089728305,6.572986154288353,6.647340774536133,4944863.0
2018-06-11,6.714260225432695,6.7886155525296275,6.394534020767773,6.721695899963379,11791342.0
2018-06-12,6.6770832621110054,6.796051939763351,6.550680327358249,6.691954612731934,6753808.0
2018-06-13,6.6622126454869885,6.6622126454869885,6.4168410321651095,6.431711673736572,7514847.0
2018-06-14,6.4540187753978575,6.766310052214208,6.37966343935395,6.639906406402588,5512414.0
