Date,open,high,low,close,volume
2018-01-02,1157.3388399224673,1177.235707178877,1156.2548612896364,1175.2357177734375,153932820000
2018-01-03,1177.383822418975,1183.9448230688722,1157.7959127426006,1160.515869140625,173540830000
2018-01-04,1160.679901125753,1172.582792322205,1151.5168636136214,1154.9058837890625,140244490000
2018-01-05,1161.5847423534392,1171.8387159425424,1159.5007691017734,1166.372802734375,108753330000
2018-01-08,1175.136653991959,1177.8307313678106,1162.279789219228,1163.038818359375,105440880000
2018-01-09,1163.1078417786614,1166.4658561863205,1149.4149212744505,1150.221923828125,116126060000
2018-01-10,1148.1170010388103,1148.55999187014,1128.8380498249082,1135.8890380859375,124323020000
2018-01-11,1143.2878625147978,1147.181884765625,1130.5700346714611,1147.181884765625,132936720000
2018-01-12,1150.6219259777781,1157.180851019746,1145.6098677004677,1146.43994140625,116939860000
2018-01-15,1142.8569422259359,1154.522895636127,1121.5860595703125,1121.5860595703125,148199600000
2018-01-16,1117.0780254210279,1144.748898321015,1111.0680477150975,1144.1778564453125,166953570000
2018-01-17,1144.2899104124674,1166.2957743544046,1137.0519119513933,1165.9188232421875,145810770000
2018-01-18,1171.4527433448316,1177.5827155696115,1161.5648565703996,1168.5538330078125,125881130000
2018-01-19,1167.2347796902911,1170.639790938383,1149.2548945266742,1151.46484375,142610080000
2018-01-22,1156.385826956285,1172.4558099783746,1152.8818172435017,1172.3487548828125,120065800000
2018-01-23,1178.429838831286,1189.5517285932474,1174.946824918827,1183.9947509765625,133769630000
2018-01-24,1184.7666636926915,1196.7236315075568,1181.4787172690003,1196.4776611328125,136146150000
2018-01-25,1196.7645910109636,1203.1985165375388,1185.866700117714,1186.03466796875,128574350000
2018-01-26,1189.464691893983,1207.0126953125,1188.7137192808334,1207.0126953125,122511260000
2018-01-29,1213.4054910290802,1215.3084349427475,1193.9735882267878,1208.446533203125,121156740000
2018-01-30,1202.1345950839811,1209.4795267073598,1193.024658203125,1193.024658203125,130203870000
2018-01-31,1196.7095871431877,1203.6045700579778,1192.3507235725956,1195.2816162109375,110752820000
2018-02-01,1200.153634715676,1208.9334951262317,1186.5876670131208,1190.4376220703125,109334210000
2018-02-02,1193.3386810742759,1195.8457479386166,1177.9207935860263,1181.187744140625,82569460000
2018-02-05,1177.2396996413802,1181.2057429644196,1165.8707416576538,1168.520751953125,90966000000
2018-02-06,1142.9609988535396,1158.9218519779033,1138.7509381018403,1154.56689453125,124198470000
2018-02-07,1162.5138800083093,1165.1508289725555,1153.9149263980696,1155.6959228515625,118230170000
2018-02-08,1158.7428338470274,1160.5458027318364,1138.9118850893747,1142.62890625,109566120000
2018-02-09,1131.4551015151576,1142.1159340488543,1125.0320396348127,1135.89697265625,91910330000
2018-02-12,1145.9249389036088,1154.1488942111346,1145.2358556524919,1148.2098388671875,82144620000
