Date,open,high,low,close,volume AAA
2018-01-01,14.843894958496094,14.843894958496094,14.843894958496094,14.843894958496094,0
2018-01-02,14.843891853500022,15.195507446528401,14.83438959156366,15.157495498657227,2444680
2018-01-03,15.16700036399077,15.16700036399077,14.653830328330091,14.672836303710938,3467656
2018-01-04,14.672836842998214,14.672836842998214,14.397246564689436,14.444762229919434,4150164
2018-01-05,14.53979246753327,14.644327503207368,14.321220133891101,14.568302154541016,4084420
2018-01-08,14.587309225609427,14.625321177768216,14.435258516848224,14.444762229919434,3073228
2018-01-09,14.406750827279701,14.568303805211233,14.283209802956856,14.48277473449707,3861104
2018-01-10,14.406750277760645,14.501781608220641,14.37824058861004,14.444762229919434,3656176
2018-01-11,14.473269035832894,14.473269035832894,14.216684784717964,14.3782377243042,2548332
2018-01-12,14.492276721194912,14.492276721194912,14.283208101131239,14.330723762512207,2186008
2018-01-15,14.31172293088403,14.45426996625115,14.2451998209953,14.425760269165039,1947612
2018-01-16,14.254699028156423,14.530289296008926,14.254699028156423,14.473271369934082,3154524
2018-01-17,14.406749799113866,14.701346043714436,14.31171847181117,14.644328117370605,3389492
2018-01-18,14.710849962225003,14.729855937938776,14.501781329247505,14.69184398651123,2859324
2018-01-19,14.577804340435755,14.61581773960117,14.29271037197824,14.397245407104492,2324848
2018-01-22,14.39724676255669,14.49227809432274,14.178674409482165,14.359234809875488,3805596
2018-01-23,14.36873385117507,14.577802444169224,14.216684624480559,14.53028678894043,4143296
2018-01-24,14.511282573179297,14.634823581739024,14.378239302461374,14.52078628540039,3348028
2018-01-25,14.501781608220641,14.501781608220641,14.397246564689436,14.444762229919434,6225980
2018-01-26,14.482773241143802,14.577804565429688,14.397245629311678,14.577804565429688,3743052
2018-01-29,14.587309225609427,14.65383086691882,14.359234612530647,14.444762229919434,4708808
2018-01-30,14.34973104367501,14.49227804079761,14.34973104367501,14.38774299621582,4239692
2018-01-31,14.321220798110613,14.444761814165414,14.283208847045898,14.283208847045898,2653080
