date,n_kap_day,n_material,kap_score,kap_polarity,has_earnings,has_dividend,has_buyback,has_rating,has_oda
2018-05-08,30,26,8.9,bullish,1,1,1,1,1
2018-05-09,28,25,8.4,bullish,1,0,1,0,1
2018-05-10,20,17,7.4,bullish,1,0,1,0,1
2018-05-11,22,20,6.4,bullish,1,0,1,0,1
2018-05-14,23,20,6.0,bullish,0,0,1,0,1
2018-05-15,28,25,17.9,bullish,0,1,1,0,0
2018-05-16,13,10,1.8,bullish,0,0,0,0,0
2018-05-17,12,11,2.0,bullish,0,0,0,0,1
2018-05-18,18,17,8.0,bullish,1,0,1,0,1
2018-05-21,14,13,6.0,bullish,0,0,1,0,1
2018-05-22,18,17,11.5,bullish,0,1,1,0,1
2018-05-23,26,26,4.4,bullish,0,0,1,0,1
2018-05-24,26,22,13.0,bullish,1,0,1,0,1
2018-05-25,22,20,2.8,bullish,0,0,0,0,1
2018-05-28,15,15,11.899999999999999,bullish,0,1,1,0,1
2018-05-29,29,28,13.2,bullish,0,0,1,0,1
2018-05-30,23,21,5.2,bullish,0,0,1,0,1
2018-05-31,21,19,8.2,bullish,0,0,1,0,1
2018-06-01,27,26,11.8,bullish,0,0,1,1,1
2018-06-02,1,1,0.0,neutral,0,0,0,0,0
2018-06-04,21,19,7.2,bullish,0,0,1,1,1
2018-06-05,31,30,7.7,bullish,0,1,1,0,1
2018-06-06,20,19,15.2,bullish,0,0,1,1,1
2018-06-07,18,16,5.5,bullish,0,1,0,1,1
2018-06-08,40,36,20.4,bullish,1,0,1,1,1
2018-06-11,28,26,10.399999999999999,bullish,0,0,1,0,1
2018-06-12,16,15,4.2,bullish,0,0,1,1,1
2018-06-13,22,21,8.4,bullish,0,0,1,0,1
2018-06-14,3,3,5.2,bullish,0,0,1,0,0
2018-06-18,21,20,12.599999999999998,bullish,0,0,1,0,1
2018-06-19,17,16,4.2,bullish,0,0,1,1,0
2018-06-20,25,21,9.399999999999999,bullish,1,0,1,0,1
2018-06-21,29,29,8.799999999999999,bullish,0,0,1,0,1
2018-06-22,16,15,8.0,bullish,0,0,1,0,1
2018-06-25,19,17,9.2,bullish,0,0,1,0,1
2018-06-26,19,17,4.6000000000000005,bullish,0,0,1,0,1
2018-06-27,14,14,2.8,bullish,0,0,0,0,1
2018-06-28,28,28,7.8,bullish,0,0,1,0,1
2018-06-29,16,16,9.0,bullish,0,0,1,1,1
2018-07-02,20,16,1.0,bullish,0,0,0,0,1
2018-07-03,21,18,6.4,bullish,0,0,1,0,1
2018-07-04,15,11,5.0,bullish,0,0,0,0,1
2018-07-05,14,12,10.399999999999999,bullish,0,0,1,0,1
2018-07-06,19,19,3.2,bullish,0,0,1,0,1
2018-07-09,7,7,-1.0,bearish,0,0,0,0,1
2018-07-10,13,11,5.2,bullish,0,0,1,0,1
2018-07-11,18,15,4.2,bullish,0,0,1,0,1
2018-07-12,12,10,6.4,bullish,0,0,1,0,1
2018-07-13,11,10,3.2,bullish,0,0,1,1,0
2018-07-16,16,16,9.2,bullish,0,0,1,0,1
2018-07-17,17,17,6.4,bullish,0,0,1,0,1
2018-07-18,19,18,6.4,bullish,0,0,1,0,1
2018-07-19,22,22,3.2,bullish,0,0,1,1,1
2018-07-20,16,15,4.5,bullish,0,0,1,1,1
2018-07-23,21,20,-0.6000000000000001,neutral,0,0,1,1,1
2018-07-24,20,16,4.2,bullish,1,0,1,1,1
2018-07-25,27,23,1.2,bullish,1,0,1,0,1
2018-07-26,28,24,1.3,bullish,1,0,0,0,1
2018-07-27,28,19,0.0,neutral,1,0,0,0,1
